iter	Passed	Remaining
681	1183	551
682	1185	550
683	1186	548
684	1188	546
685	1189	544
686	1190	542
687	1191	540
688	1193	538
689	1194	536
690	1195	534
691	1196	532
692	1197	530
693	1199	528
694	1200	526
695	1201	524
696	1202	522
697	1203	520
698	1204	518
699	1206	516
700	1207	515
701	1208	513
702	1210	511
703	1211	509
704	1212	507
705	1215	506
706	1217	504
707	1219	502
708	1220	500
709	1221	499
710	1223	497
711	1225	495
712	1227	494
713	1229	492
714	1231	490
715	1233	489
716	1234	487
717	1236	485
718	1237	483
719	1238	481
720	1240	479
721	1242	478
722	1244	476
723	1246	475
724	1248	473
725	1250	471
726	1251	470
727	1253	468
728	1254	466
729	1256	464
730	1257	462
731	1258	460
732	1261	459
733	1263	457
734	1265	456
735	1267	454
736	1268	452
737	1269	450
738	1270	448
739	1272	447
740	1274	445
741	1276	443
742	1277	441
743	1279	440
744	1280	438
745	1282	436
746	1283	434
747	1284	432
748	1286	431
749	1287	429
750	1289	427
751	1291	426
752	1293	424
753	1294	422
754	1296	420
755	1298	418
756	1299	417
757	1301	415
758	1303	413
759	1306	412
760	1308	411
761	1310	409
762	1312	407
763	1314	405
764	1315	404
765	1317	402
766	1320	401
767	1323	399
768	1325	398
769	1327	396
770	1328	394
771	1330	392
772	1332	391
773	1333	389
774	1336	387
775	1338	386
776	1339	384
777	1340	382
778	1342	380
779	1344	379
780	1346	377
781	1348	375
782	1350	374
783	1353	372
784	1355	371
785	1356	369
786	1358	367
787	1360	365
788	1362	364
789	1364	362
790	1366	361
791	1369	359
792	1371	358
793	1373	356
794	1375	354
795	1378	353
796	1381	351
797	1383	350
798	1384	348
799	1386	346
800	1389	345
801	1390	343
802	1392	341
803	1395	340
804	1397	338
805	1400	337
806	1403	335
807	1404	333
808	1405	331
809	1407	330
810	1411	328
811	1413	327
812	1415	325
813	1416	323
814	1418	321
815	1419	320
816	1421	318
817	1423	316
818	1425	315
819	1427	313
820	1429	311
821	1431	309
822	1434	308
823	1435	306
824	1437	304
825	1440	303
826	1443	301
827	1445	300
828	1447	298
829	1449	296
830	1451	295
831	1452	293
832	1455	291
833	1458	290
834	1461	288
835	1463	287
836	1465	285
837	1467	283
838	1469	281
839	1472	280
840	1474	278
841	1476	277
842	1478	275
843	1480	273
844	1481	271
845	1482	269
846	1484	268
847	1488	266
848	1490	265
849	1492	263
850	1493	261
851	1495	259
852	1497	258
853	1499	256
854	1501	254
855	1502	252
856	1503	250
857	1505	249
858	1506	247
859	1507	245
860	1508	243
861	1510	241
862	1512	240
863	1514	238
864	1517	236
865	1520	235
866	1522	233
867	1524	231
868	1525	230
869	1527	228
870	1529	226
871	1532	224
872	1534	223
873	1536	221
874	1538	219
875	1539	217
876	1541	216
877	1543	214
878	1545	212
879	1547	210
880	1549	209
881	1551	207
882	1552	205
883	1554	203
884	1556	202
885	1558	200
886	1560	198
887	1562	197
888	1565	195
889	1567	193
890	1568	191
891	1569	190
892	1570	188
893	1571	186
894	1573	184
895	1575	182
896	1577	181
897	1578	179
898	1580	177
899	1582	175
900	1583	173
901	1584	172
902	1586	170
903	1587	168
904	1588	166
905	1591	165
906	1593	163
907	1595	161
908	1596	159
909	1597	157
910	1598	156
911	1599	154
912	1600	152
913	1602	150
914	1603	148
915	1604	147
916	1607	145
917	1609	143
918	1610	141
919	1612	140
920	1614	138
921	1616	136
922	1618	135
923	1621	133
924	1623	131
925	1625	129
926	1626	128
927	1628	126
928	1630	124
929	1631	122
930	1633	121
931	1634	119
932	1637	117
933	1638	115
934	1640	114
935	1641	112
936	1643	110
937	1644	108
938	1645	106
939	1646	105
940	1647	103
941	1649	101
942	1651	99
943	1654	98
944	1656	96
945	1657	94
946	1659	92
947	1660	91
948	1662	89
949	1664	87
950	1667	85
951	1669	84
952	1670	82
953	1672	80
954	1674	78
955	1676	77
956	1677	75
957	1679	73
958	1682	71
959	1684	70
960	1686	68
961	1688	66
962	1690	64
963	1691	63
964	1693	61
965	1695	59
966	1697	57
967	1699	56
968	1701	54
969	1703	52
970	1705	50
971	1707	49
972	1708	47
973	1711	45
974	1713	43
975	1716	42
976	1717	40
977	1719	38
978	1721	36
979	1723	35
980	1724	33
981	1727	31
982	1730	29
983	1732	28
984	1734	26
985	1735	24
986	1737	22
987	1739	21
988	1741	19
989	1744	17
990	1746	15
991	1748	14
992	1750	12
993	1751	10
994	1753	8
995	1755	7
996	1758	5
997	1760	3
998	1762	1
999	1763	0
